Latitude,Longitude,Depth,Month,Year,Gephyrocapsa huxleyi HET
-20,-81,0,2,1964,1830
-20,-36,5,5,1996,1510
-20,-36,5,10,1995,3030
-20,-36,80,5,1996,12860
-20,-36,160,10,1995,1510
-20,-18,5,5,1998,448
-20,-18,20,5,1998,1691
-20,-18,50,5,1998,760
-20,-18,100,5,1998,810
-20,110,0,2,1996,370
-20,110,20,2,1996,696
-20,110,40,2,1996,761
-20,110,75,2,1996,36779
-20,110,105,2,1996,1530
-20,110,160,2,1996,231
-20,110,200,2,1996,90
-20,167,0,10,1992,708
-19,-36,5,10,1996,1510
-19,-36,50,10,1996,1510
-19,-36,75,10,1996,6052
-19,-36,100,10,1996,1510
-19,-36,125,10,1996,9078
-19,-36,140,10,1996,1510
-19,-35,40,5,1997,750
-19,-26,20,11,2005,2370
-19,12,5,5,1998,19669
-19,110,0,2,1996,446
-19,110,20,2,1996,96
-19,110,100,2,1996,2624
-19,147,0,7,1967,4997
-18,-80,0,2,1964,5330
-18,-77,0,2,1964,13267
-18,-74,0,2,1964,1201
-18,-26,25,10,2004,2230
-18,11,5,5,1998,12104
-18,110,0,2,1996,172
-18,110,50,2,1996,3089
-18,110,100,2,1996,5359
-18,149,0,8,1967,11772
-17,-151,0,10,1969,293
-17,-79,0,2,1964,5722
-17,-74,0,2,1964,27467.5
-17,-33,0,10,1997,3026
-17,-33,140,10,1997,6052
-17,110,0,2,1996,45
-17,110,25,2,1996,202
-17,110,55,2,1996,529
-17,110,100,2,1996,800
-17,110,150,2,1996,162
-17,113,65,3,1996,814
-17,113,155,3,1996,146
-17,146,0,7,1967,5345.5
-17,146,0,8,1967,5131
-17,150,0,7,1967,498
-16,-152,0,10,1969,338
-16,-34,5,5,1996,120
-16,-34,5,10,1995,3030
-16,-34,150,5,1996,40
-16,-34,150,10,1995,18160
-16,-26,60,5,2004,1541
-16,-26,130,5,2004,572
-16,-26,160,5,2004,190
-16,-26,180,5,2004,655
-16,-26,200,5,2004,250
-16,110,0,2,1996,184
-16,110,10,2,1996,394
-16,110,100,2,1996,1345
-16,110,130,2,1996,453
-16,152,0,7,1967,922
-16,153,0,7,1967,1608
-15,-153,0,10,1969,35
-15,-34,5,10,1996,1500
-15,-34,60,10,1996,3030
-15,-33,5,5,1997,750
-15,-33,130,5,1997,1510
-15,-26,20,10,2004,470
-15,-26,20,11,2005,1770
-15,-26,125,10,2004,1740
-15,-26,200,10,2004,260
-15,114,120,3,1996,299
-15,145,0,7,1967,1666
-15,147,0,7,1967,610
-15,154,0,9,1992,466
-14,-162,0,4,1968,853
-14,-153,0,10,1969,165
-14,-101,0,10,1967,5148
-14,110,0,2,1996,437.5
-14,110,15,2,1996,132
-14,110,25,2,1996,147
-14,110,50,2,1996,2185
-14,110,90,2,1996,990
-14,110,120,2,1996,519
-14,110,125,2,1996,594
-14,110,150,2,1996,150
-14,110,160,2,1996,168
-14,114,0,3,1996,995
-14,114,25,3,1996,571
-14,114,50,3,1996,139
-14,114,100,3,1996,592
-14,153,0,7,1967,1197
-13,-154,0,10,1969,96
-13,-137,0,9,1967,1265
-13,-31,0,10,1997,750
-13,-31,150,10,1997,1510
-13,-26,30,5,2004,949
-13,-26,55,5,2004,769
-13,-26,130,5,2004,1380
-13,-26,195,5,2004,100
-13,-16,5,4,1998,256
-13,-16,20,4,1998,125
-13,-16,100,4,1998,1537
-13,111,0,3,1996,416
-13,111,20,3,1996,532
-13,111,60,3,1996,2520
-13,111,95,3,1996,792
-13,112,0,3,1996,293
-13,114,0,3,1996,78
-13,114,30,3,1996,824
-13,114,60,3,1996,7881
-13,114,90,3,1996,273
-13,146,0,8,1967,2248
-13,150,0,8,1967,632
-12,-155,0,10,1969,595
-12,-107,0,10,1967,20860
-12,-96,0,10,1967,6296
-12,-32,70,5,1996,9080
-12,-32,130,5,1996,1510
-12,-26,15,11,2005,3260
-12,148,0,7,1967,7292
-12,150,0,8,1967,1614
-11,-155,0,10,1969,130
-11,-135,0,9,1967,292
-11,-32,5,10,1996,1500
-11,-32,75,10,1996,3030
-11,-31,5,5,1997,1510
-11,-26,15,10,2004,2060
-11,-26,125,10,2004,2270
-11,-26,180,10,2004,250
-11,141,0,8,1967,3170
-10,-156,0,10,1969,60.5
-10,-114,0,10,1967,5196
-9,-156,0,10,1969,127.5
-9,-111,0,10,1967,1658
-9,-88,0,10,1967,43077
-9,-30,0,10,1997,4539
-9,-30,120,10,1997,3026
-9,-15,5,3,1998,141
-9,-15,50,3,1998,887
-9,-15,90,3,1998,5261
-9,-15,150,3,1998,238
-8,-156,0,10,1969,730
-8,-30,5,5,1996,1510
-8,-30,30,5,1996,6050
-8,-30,100,5,1996,1510
-7,-156,0,10,1969,437.5
-7,-123,0,9,1967,3632
-7,-83,10,8,1995,475
-7,-82,10,8,1995,1375
-7,-30,5,10,1996,6052
-7,-26,10,5,2003,265
-7,-26,15,10,2004,3870
-7,-26,100,10,2004,8790
-7,-26,155,10,2004,360
-7,153,0,9,1992,695
-6,-156,0,10,1969,510
-6,-116,0,10,1967,4227
-6,-83,10,8,1995,2000
-6,-82,10,8,1995,2175
-6,-30,110,5,1997,2269.5
-6,160,0,11,1990,83
-5,-155,0,10,1969,1265
-5,-118,0,9,1967,69596
-5,-87,0,10,1967,59665
-5,176,0,10,1968,27
-5,178,0,11,1990,33
-4,-155,0,10,1969,1781.66666666667
-4,-123,0,9,1967,35161
-4,-29,60,5,1996,18160
-4,160,0,11,1990,39
-4,175,0,10,1968,185
-4,178,0,10,1969,50
-3,-156,0,10,1969,7600
-3,-155,0,10,1969,7395
-3,-28,5,10,1995,12100
-3,-28,5,10,1996,10591
-3,-28,40,10,1996,10591
-3,-28,70,5,1997,2269.5
-3,-28,85,10,1996,31773
-3,-28,90,10,1995,120
-3,-26,10,11,2005,3640
-3,160,0,11,1990,1464
-3,177,0,10,1969,70
-2,-156,0,10,1969,5830
-2,-86,0,10,1967,224691
-2,-25,5,10,2018,9467
-2,-25,30,10,2018,10078.7
-2,-25,50,10,2018,15923.3
-2,-25,60,10,2018,29186.1
-2,-25,70,10,2018,12425.4
-2,-25,75,10,2018,21674.4
-2,-25,90,10,2018,7836.7
-2,-25,120,10,2018,1495
-2,-25,150,10,2018,1307.9
-2,176,0,10,1969,110
-2,177,0,10,1969,160
-2,178,0,11,1990,1092
-1,-156,0,10,1969,6045
-1,-27,40,5,1996,6050
-1,-27,70,5,1996,6050
-1,-26,0,10,1997,32529.5
-1,-26,5,5,2004,3631
-1,-26,15,5,2004,7262
-1,-26,25,5,2004,4624
-1,-26,60,5,2004,35622.3333333333
-1,-26,85,10,1997,30260
-1,-26,90,5,2004,4146
-1,-25,5,10,2018,18145
-1,-9,5,5,1998,69598
-1,141,0,1,1969,375
-1,141,0,12,1968,375
-1,141,20,1,1969,231
-1,141,20,12,1968,232
-1,141,30,1,1969,220
-1,141,30,12,1968,220
-1,141,75,1,1969,180
-1,141,75,12,1968,180
-1,141,100,1,1969,198
-1,141,100,12,1968,199
-1,149,0,9,1992,115
-1,173,0,10,1968,514
-1,176,0,10,1969,190.5
0,-156,0,9,1969,17045
0,-155,0,9,1969,4300
0,-26,5,5,2004,1619
0,-26,10,10,2004,1610
0,-26,10,11,2005,6830
0,-26,65,10,2004,2440
0,-26,70,5,2004,4985
0,-26,100,10,2004,1710
0,175,0,10,1969,85
1,-156,0,9,1969,8662.5
1,-130,0,3,1967,8539
1,-125,0,3,1967,24437
1,-121,0,3,1967,12186
1,-118,0,3,1967,3104
1,-113,0,3,1967,8838
1,-107,0,3,1967,11021
1,-104,0,3,1967,3618
1,-101,0,2,1967,3284
1,-26,5,5,1997,20
1,-26,5,10,1995,13620
1,-26,5,10,1996,4539
1,-26,40,10,1996,3030
1,-26,50,10,1996,13617
1,-26,70,5,1997,7565
